name,source,servings,ingredients_resolved,coverage_pct,listed_kcal,computed_kcal_per_serving,kcal_diff_pct,listed_P,computed_P,p_diff_pct,listed_C,computed_C,c_diff_pct,listed_F,computed_F,f_diff_pct,status,worst_variance,unresolved
Keto Chicken Alfredo,meals.ts,1,2/6,33%,480.0,388.2,-19.1,38.0,52.9,39.1,10.0,0.0,-99.8,32.0,18.3,-42.8,LOW_COVERAGE,99.8,Zucchini (no USDA mapping); Heavy cream (no USDA mapping); Parmesan cheese (no USDA mapping)
Shrimp & Grits,meals.ts,1,2/6,33%,520.0,252.3,-51.5,30.0,2.2,-92.6,45.0,3.0,-93.4,22.0,26.3,19.7,LOW_COVERAGE,93.4,Shrimp (6.0 oz peeled → can't convert to grams); Stone-ground grits (no USDA mapping); Garlic (2.0 cloves minced → can't convert to grams)
Chickpea & Spinach Stew,meals.ts,1,4/7,57%,420.0,220.9,-47.4,18.0,4.3,-76.3,55.0,15.9,-71.1,12.0,16.2,34.7,LOW_COVERAGE,76.3,Chickpeas (1.0 can drained → can't convert to grams); Diced tomatoes (1.0 can (14oz) → can't convert to grams); Onion (1.0 small diced → can't convert to grams)
Protein Bar,meals.ts,1,0/1,0%,250.0,0.0,-100.0,20.0,0.0,-100.0,25.0,0.0,-100.0,8.0,0.0,-100.0,LOW_COVERAGE,100.0,Protein bar (no USDA mapping)
Apple & Peanut Butter,meals.ts,1,2/2,100%,280.0,309.7,10.6,8.0,0.8,-89.8,30.0,25.1,-16.2,16.0,24.7,54.3,VARIANCE,89.8,
Greek Yogurt & Honey,meals.ts,1,2/2,100%,180.0,252.8,40.5,18.0,22.1,22.6,20.0,12.9,-35.3,3.0,12.2,308.3,VARIANCE,308.3,
Trail Mix,meals.ts,1,2/3,67%,300.0,103.5,-65.5,10.0,3.4,-65.8,25.0,6.8,-73.0,20.0,7.8,-60.8,LOW_COVERAGE,73.0,Mixed nuts (no USDA mapping)
String Cheese & Crackers,meals.ts,1,0/2,0%,220.0,0.0,-100.0,14.0,0.0,-100.0,18.0,0.0,-100.0,10.0,0.0,-100.0,LOW_COVERAGE,100.0,String cheese (no USDA mapping); Whole wheat crackers (no USDA mapping)
Hard Boiled Eggs,meals.ts,1,3/3,100%,160.0,155.0,-3.1,12.0,12.6,5.0,2.0,1.1,-45.0,10.0,10.6,6.0,VARIANCE,45.0,
Hummus & Veggies,meals.ts,1,1/4,25%,200.0,25.0,-87.5,8.0,0.5,-93.1,22.0,5.9,-73.4,10.0,0.1,-98.8,LOW_COVERAGE,98.8,Hummus (no USDA mapping); Celery sticks (no USDA mapping); Bell pepper strips (0.5 pepper → can't convert to grams)
Beef Jerky,meals.ts,1,1/1,100%,120.0,70.9,-40.9,15.0,7.4,-50.9,5.0,0.0,-100.0,4.0,4.3,6.3,VARIANCE,100.0,
Rice Cake with Almond Butter,meals.ts,1,1/3,33%,200.0,107.5,-46.2,6.0,0.1,-97.8,25.0,0.0,-99.9,10.0,12.2,21.6,LOW_COVERAGE,99.9,Rice cake (1.0 cake → can't convert to grams); Banana (0.5 sliced → can't convert to grams)
Edamame,meals.ts,1,1/2,50%,190.0,0.0,-100.0,18.0,0.0,-100.0,14.0,0.0,-100.0,8.0,0.0,-100.0,LOW_COVERAGE,100.0,Frozen edamame (in shell) (no USDA mapping)
